domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	phylum	4484-113	27	24	13	1	2	3	9	13
Bacteria	phylum	Arandabacterota	22	18	10	1	2	3	9	10
Bacteria	phylum	CG03	37	26	14	3	3	5	9	14
Bacteria	phylum	Campylobacterota_A	67	37	21	1	3	4	9	21
Bacteria	phylum	SZUA-182	20	20	11	1	3	5	9	11
Bacteria	phylum	Abyssobacteria	11	11	9	1	2	2	8	9
Bacteria	phylum	Joyebacterota	49	31	20	1	1	1	8	20
Bacteria	phylum	Aerophobota	41	31	8	1	1	5	7	8
Bacteria	phylum	BMS3Abin14	23	16	10	1	1	1	7	10
Bacteria	phylum	CAIWAD01	21	12	11	1	2	2	7	11
Bacteria	phylum	Orphanbacterota	12	10	8	1	2	2	7	8
Bacteria	phylum	CG2-30-53-67	30	14	11	1	2	2	6	11
Bacteria	phylum	Edwardsbacteria	36	19	15	1	2	2	6	15
Bacteria	phylum	JAMCPX01	39	13	8	1	2	2	6	8
Bacteria	phylum	RBG-13-66-14	30	25	16	2	3	4	6	16
Bacteria	phylum	SZUA-79	142	38	24	1	1	1	6	24
Bacteria	phylum	UBA4055	28	16	11	1	1	1	6	11
Bacteria	phylum	UBA6262	14	12	9	1	2	3	6	9
Bacteria	phylum	ARS69	15	12	7	1	1	1	5	7
Bacteria	phylum	CSSED10-310	16	14	7	2	2	3	5	7
Bacteria	phylum	Coprothermobacterota	34	13	6	2	2	3	5	6
Bacteria	phylum	JAJVIF01	15	14	6	1	3	4	5	6
Bacteria	phylum	NPL-UPA2	14	13	5	2	2	4	5	5
Bacteria	phylum	Thermosulfidibacterota	31	19	11	1	1	3	5	11
Bacteria	phylum	UBP15	20	13	6	1	1	3	5	6
Bacteria	phylum	UBP4	6	5	5	1	2	2	5	5
Bacteria	phylum	AUK180	11	9	6	1	1	1	4	6
Bacteria	phylum	Blakebacterota	12	10	4	1	1	3	4	4
Bacteria	phylum	DYJV01	6	6	5	1	1	2	4	5
Bacteria	phylum	JAGRBM01	6	6	5	1	1	2	4	5
Bacteria	phylum	SM23-81	7	7	6	2	2	2	4	6
Bacteria	phylum	4572-55	3	3	3	1	2	2	3	3
Bacteria	phylum	B130-G9	7	7	4	1	1	1	3	4
Bacteria	phylum	CAIJMQ01	15	9	5	1	2	3	3	5
Bacteria	phylum	CALINM01	6	6	5	1	1	1	3	5
Bacteria	phylum	CAYTYR01	12	9	8	1	2	2	3	8
Bacteria	phylum	Dictyoglomota	32	11	9	1	1	1	3	9
Bacteria	phylum	GCA-001730085	3	3	3	2	2	2	3	3
Bacteria	phylum	J088	5	5	3	2	2	2	3	3
Bacteria	phylum	JACRDZ01	6	6	5	3	3	3	3	5
Bacteria	phylum	JAGOEH01	3	3	3	1	1	2	3	3
Bacteria	phylum	Macinerneyibacteriota	19	10	6	1	1	2	3	6
Bacteria	phylum	Moduliflexota	9	9	4	1	1	2	3	4
Bacteria	phylum	RUG730	8	7	3	1	1	2	3	3
Bacteria	phylum	Schekmanbacteria	9	5	4	1	1	2	3	4
Bacteria	phylum	T1Sed10-126	12	12	3	1	1	1	3	3
