accession	source	organism_name
GCA_023299885.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_023954355.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_043764155.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_023701205.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_021463345.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_031416685.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_031429075.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_965226095.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_025055135.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_025359945.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_037128215.1	GTDB:Bdellovibrionota	bacterium
GCA_026713835.1	GTDB:Bdellovibrionota	Bacteriovoracales bacterium
GCA_028819545.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_964601045.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_031292385.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_029865945.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_030425045.1	GTDB:Bdellovibrionota	bacterium
GCA_030427805.1	GTDB:Bdellovibrionota	Bdellovibrionia bacterium
GCA_965217035.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_030427965.1	GTDB:Bdellovibrionota	Bdellovibrionia bacterium
GCA_049415445.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_030591685.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_034439615.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_034439715.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_043732305.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_043784965.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_043746165.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_043759945.1	GTDB:Bdellovibrionota	Bdellovibrio sp.
GCA_043759365.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_043720615.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_040384505.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_038323665.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_963778115.1	GTDB:Bdellovibrionota	uncultured delta proteobacterium
GCA_964358645.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_964655245.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_049318265.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_040754655.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_050251055.1	GTDB:Bdellovibrionota	Bacteriovoracia bacterium
GCA_050250975.1	GTDB:Bdellovibrionota	Bacteriovoracia bacterium
GCA_050250255.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_044229295.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_045110695.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_041751875.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_041736915.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_041750195.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_044237745.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_044359815.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_044356225.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_044352155.1	GTDB:Bdellovibrionota	Bdellovibrionia bacterium
GCA_044351695.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_046318875.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_046570065.1	GTDB:Bdellovibrionota	Bdellovibrionia bacterium
GCA_048264885.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_049315665.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_049424145.1	GTDB:Bdellovibrionota	Bdellovibrionia bacterium
GCA_049436045.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_049599895.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_052033755.1	GTDB:Bdellovibrionota	Bdellovibrionota bacterium
GCA_041546685.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium
GCA_963695255.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_034259205.1	GTDB:Bdellovibrionota	Peredibacter starrii
GCA_000348725.1	GTDB:Bdellovibrionota	Pseudobdellovibrio exovorus JSS
GCA_027459485.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_007693605.1	GTDB:Bdellovibrionota	Bradymonadales bacterium
GCA_009927005.1	GTDB:Bdellovibrionota	Pseudomonadota bacterium
GCA_964498095.1	GTDB:Bdellovibrionota	uncultured Bdellovibrionales bacterium
GCA_007128005.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_003650125.1	GTDB:Bdellovibrionota	Campylobacterota bacterium
GCA_014378465.1	GTDB:Bdellovibrionota	Oligoflexia bacterium
GCA_002321895.1	GTDB:Bdellovibrionota	Bdellovibrionaceae bacterium UBA1609
GCA_017302835.1	GTDB:Bdellovibrionota	Deltaproteobacteria bacterium
GCA_002344785.1	GTDB:Bdellovibrionota	Bdellovibrionaceae bacterium UBA2339
GCA_937952285.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_005776395.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium
GCA_002376845.1	GTDB:Bdellovibrionota	Bdellovibrionaceae bacterium UBA3535
GCA_963972815.1	GTDB:Bdellovibrionota	uncultured Halobacteriovorax sp.
GCA_021731025.1	GTDB:Bdellovibrionota	Pseudobdellovibrionaceae bacterium
GCA_964399165.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_002435795.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium UBA6166
GCA_002436415.1	GTDB:Bdellovibrionota	Bdellovibrionaceae bacterium UBA6502
GCA_002453155.1	GTDB:Bdellovibrionota	Bdellovibrionaceae bacterium UBA6776
GCA_964013565.1	GTDB:Bdellovibrionota	uncultured Oligoflexia bacterium
GCA_964012805.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_950070535.1	GTDB:Bdellovibrionota	uncultured Bacteriovoracaceae bacterium
GCA_002387735.1	GTDB:Bdellovibrionota	Bacteriovoracaceae bacterium UBA4573
GCA_001770015.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium RIFOXYC1_FULL_37_79
GCA_001770205.1	GTDB:Bdellovibrionota	Bdellovibrionales bacterium RIFOXYD12_FULL_39_22
